Spot,Maturity,Strike,Interest rate,Mid
1313.67,0.3972602,1200,0.000697973,160.15
1313.67,0.3972602,1250,0.000697973,127.25
1313.67,0.3972602,1300,0.000697973,99.15
1313.67,0.3972602,1350,0.000697973,75.25
1313.67,0.3972602,1400,0.000697973,55.6
1313.67,0.8958904,1200,0.000853821,211.1
1313.67,0.8958904,1250,0.000853821,182.25
1313.67,0.8958904,1300,0.000853821,156.35
1313.67,0.8958904,1350,0.000853821,132.2
1313.67,0.8958904,1400,0.000853821,111.55
1313.67,1.8904109,1200,0.002228013,286
1313.67,1.8904109,1250,0.002228013,259.75
1313.67,1.8904109,1300,0.002228013,235.3
1313.67,1.8904109,1350,0.002228013,213.05
1313.67,1.8904109,1400,0.002228013,192.2
