Spot,Maturity,Strike,impl vola,Interest rate
2461.44,0.0361,2100,0.3175,0.03
2461.44,0.0361,2178.18,0.303,0.03
2461.44,0.0361,2200,0.299,0.03
2461.44,0.0361,2300,0.28,0.03
2461.44,0.0361,2400,0.265,0.03
2461.44,0.0361,2499.76,0.2472,0.03
2461.44,0.0361,2500,0.2471,0.03
2461.44,0.2,1870.3,0.3105,0.03
2461.44,0.2,1900,0.3076,0.03
2461.44,0.2,2000,0.2976,0.03
2461.44,0.2,2100,0.2877,0.03
2461.44,0.2,2178.18,0.28,0.03
2461.44,0.2,2200,0.2778,0.03
2461.44,0.2,2300,0.2678,0.03
2461.44,0.2,2400,0.258,0.03
2461.44,0.2,2499.76,0.2493,0.03
2461.44,0.2,2500,0.2493,0.03
2461.44,0.2,2600,0.2405,0.03
2461.44,1.1944,1870.3,0.2973,0.03
2461.44,1.1944,1900,0.2946,0.03
2461.44,1.1944,2000,0.2858,0.03
2461.44,1.1944,2100,0.2775,0.03
2461.44,1.1944,2178.18,0.2709,0.03
2461.44,1.1944,2200,0.2691,0.03
2461.44,1.1944,2300,0.2608,0.03
2461.44,1.1944,2400,0.2524,0.03
2461.44,1.1944,2499.76,0.2446,0.03
2461.44,1.1944,2500,0.2446,0.03
2461.44,1.1944,2600,0.2381,0.03
2461.44,2.1916,1870.3,0.284,0.03
2461.44,2.1916,1900,0.2817,0.03
2461.44,2.1916,2000,0.2739,0.03
2461.44,2.1916,2100,0.2672,0.03
2461.44,2.1916,2178.18,0.2619,0.03
2461.44,2.1916,2200,0.2604,0.03
2461.44,2.1916,2300,0.2536,0.03
2461.44,2.1916,2400,0.2468,0.03
2461.44,2.1916,2499.76,0.24,0.03
2461.44,2.1916,2500,0.24,0.03
2461.44,2.1916,2600,0.2358,0.03
2461.44,4.2056,1870.3,0.273,0.03
2461.44,4.2056,1900,0.2714,0.03
2461.44,4.2056,2000,0.266,0.03
2461.44,4.2056,2100,0.2615,0.03
2461.44,4.2056,2178.18,0.258,0.03
2461.44,4.2056,2200,0.257,0.03
2461.44,4.2056,2300,0.2525,0.03
2461.44,4.2056,2400,0.248,0.03
2461.44,4.2056,2499.76,0.2435,0.03
2461.44,4.2056,2500,0.2435,0.03
2461.44,4.2056,2600,0.2397,0.03
2461.44,5.1639,1870.3,0.2742,0.03
2461.44,5.1639,1900,0.2727,0.03
2461.44,5.1639,2000,0.2676,0.03
2461.44,5.1639,2100,0.2634,0.03
2461.44,5.1639,2178.18,0.26,0.03
2461.44,5.1639,2200,0.2591,0.03
2461.44,5.1639,2300,0.2548,0.03
2461.44,5.1639,2400,0.2505,0.03
2461.44,5.1639,2499.76,0.2463,0.03
2461.44,5.1639,2500,0.2463,0.03
2461.44,5.1639,2600,0.2426,0.03
